EnsemblID,Gene
ENSG00000164305,CASP3
ENSG00000240065,PSMB9
ENSG00000009335,UBE3C
ENSG00000105122,RASAL3
ENSG00000108798,ABI3
ENSG00000112118,MCM3
ENSG00000183044,ABAT
ENSG00000265148,TSPOAP1-AS1
ENSG00000132819,RBM38
ENSG00000111679,PTPN6
ENSG00000177917,ARL6IP6
ENSG00000157303,SUSD3
ENSG00000141068,KSR1
ENSG00000145287,PLAC8
ENSG00000143799,PARP1
ENSG00000135870,RC3H1
ENSG00000079246,XRCC5
ENSG00000142937,RPS8
ENSG00000112079,STK38
ENSG00000135048,TMEM2
ENSG00000163219,ARHGAP25
ENSG00000109971,HSPA8
ENSG00000134371,CDC73
ENSG00000067829,IDH3G
ENSG00000156304,SCAF4
ENSG00000213366,GSTM2
ENSG00000158864,NDUFS2
ENSG00000138071,ACTR2
ENSG00000102879,CORO1A
ENSG00000111726,CMAS
ENSG00000133313,CNDP2
ENSG00000182718,ANXA2
ENSG00000142546,NOSIP
ENSG00000126524,SBDS
ENSG00000160145,KALRN
